,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20
62,-1000,234,-771,842,-262,19,-312,3,-965,256,-767,63,-555,25,-872,248,-846,143,-829,55,-293,2,-288,5,-350,4,-488,3,-295,10,-876,380,-793,82,-552,35,-311,11,-767,92,-610,16
63,-1003,235,-775,843,-265,19,-322,3,-982,256,-778,63,-563,25,-883,249,-864,144,-834,55,-303,2,-295,5,-360,4,-496,3,-301,10,-885,383,-804,83,-561,35,-315,11,-788,92,-627,16
64,-1014,235,-775,843,-269,19,-331,3,-994,257,-793,65,-579,25,-895,250,-872,145,-847,55,-308,2,-298,5,-366,4,-508,3,-302,10,-893,384,-819,83,-571,35,-324,11,-808,93,-641,16
65,-1030,239,-776,846,-273,19,-343,3,-1004,258,-804,65,-585,25,-904,251,-880,145,-861,55,-319,2,-305,5,-382,4,-521,3,-305,10,-896,385,-843,83,-575,35,-325,11,-822,94,-651,18
66,-1039,240,-780,849,-278,19,-354,3,-1012,258,-813,65,-598,25,-911,251,-898,146,-875,55,-327,2,-331,5,-390,4,-531,3,-308,10,-907,385,-854,83,-576,35,-332,11,-830,94,-665,18
67,-1048,240,-780,849,-285,19,-368,3,-1023,258,-821,66,-608,25,-933,252,-914,146,-888,56,-338,2,-348,5,-399,4,-543,3,-309,10,-916,389,-862,83,-580,35,-333,11,-843,94,-673,18
68,-1060,243,-780,849,-296,19,-378,3,-1028,259,-842,66,-617,25,-948,254,-922,146,-901,56,-347,2,-359,5,-411,4,-549,3,-313,10,-924,389,-873,83,-588,35,-336,11,-853,94,-690,19
69,-1072,244,-780,849,-302,19,-391,3,-1035,259,-847,66,-629,26,-959,254,-929,147,-914,56,-354,2,-371,5,-422,4,-562,3,-316,10,-931,392,-888,84,-602,35,-338,11,-873,94,-702,20
70,-1080,244,-780,849,-312,19,-398,3,-1051,259,-855,66,-635,27,-971,255,-945,147,-925,56,-360,2,-382,5,-428,4,-579,3,-321,10,-944,396,-895,86,-611,35,-343,11,-882,94,-721,21
71,-1089,245,-789,851,-315,19,-404,3,-1065,259,-862,67,-647,27,-980,255,-953,147,-944,58,-383,2,-391,5,-435,5,-586,3,-321,10,-949,397,-906,86,-618,35,-346,11,-893,94,-744,21
72,-1101,246,-789,853,-320,19,-412,3,-1072,260,-865,68,-666,27,-988,256,-963,147,-953,59,-398,2,-408,5,-440,6,-597,3,-323,10,-952,397,-929,86,-626,35,-350,11,-909,95,-760,21
73,-1111,246,-793,855,-330,19,-417,3,-1075,260,-878,70,-675,27,-999,259,-978,147,-964,59,-405,2,-419,5,-454,6,-605,3,-330,10,-963,398,-939,87,-632,35,-355,11,-921,95,-778,22
74,-1117,248,-798,856,-339,19,-425,3,-1082,260,-890,70,-695,27,-1004,260,-986,147,-972,60,-413,2,-434,5,-463,7,-617,3,-334,10,-969,399,-946,87,-642,35,-361,11,-933,95,-803,23
75,-1129,248,-798,856,-342,19,-438,3,-1097,260,-896,72,-714,28,-1018,264,-996,148,-979,60,-431,2,-444,5,-467,8,-627,3,-338,10,-977,401,-954,87,-654,35,-364,11,-941,96,-817,23
76,-1135,248,-798,856,-349,19,-447,3,-1102,260,-902,73,-725,28,-1029,265,-1006,149,-996,60,-446,2,-455,5,-481,9,-639,4,-340,10,-983,401,-961,87,-660,35,-369,11,-963,96,-840,23
77,-1140,248,-801,858,-356,19,-454,3,-1106,260,-912,73,-739,28,-1042,266,-1017,150,-1014,60,-455,2,-464,5,-492,9,-655,4,-343,10,-986,401,-986,88,-667,35,-374,11,-977,96,-850,24
78,-1153,250,-803,859,-361,19,-465,4,-1116,261,-928,75,-750,28,-1052,267,-1025,150,-1027,60,-464,2,-468,5,-500,9,-685,4,-346,10,-992,402,-996,88,-672,35,-377,11,-988,97,-860,26
79,-1160,250,-805,861,-367,19,-480,4,-1124,261,-935,75,-764,28,-1062,269,-1030,150,-1040,61,-482,2,-488,5,-511,9,-691,4,-350,10,-1000,402,-1001,88,-680,35,-386,11,-1002,97,-875,26
