,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16
53,-527,69,-530,66,-541,55,-551,45,-433,163,-105,13,-108,13,-88,10,-538,58,-305,17,-254,24,-566,30,-91,11,-96,7,-113,6,-134,13,-95,3
54,-527,69,-530,66,-541,55,-551,45,-433,163,-121,13,-108,13,-88,10,-538,58,-374,17,-254,24,-566,30,-91,11,-96,7,-113,6,-134,13,-95,3
55,-527,69,-530,66,-541,55,-551,45,-433,163,-121,13,-110,13,-88,10,-538,58,-457,17,-254,24,-566,30,-91,11,-96,7,-113,6,-134,13,-95,3
56,-527,69,-530,66,-541,55,-551,45,-433,163,-121,13,-124,13,-88,10,-538,58,-526,19,-254,24,-566,30,-91,11,-96,7,-113,6,-134,13,-95,3
57,-527,69,-530,66,-541,55,-551,45,-433,163,-121,13,-139,13,-88,10,-538,58,-571,25,-272,24,-566,30,-92,11,-96,7,-113,6,-134,13,-95,3
58,-527,69,-530,66,-541,55,-551,45,-433,163,-121,13,-224,13,-88,10,-538,58,-571,25,-272,24,-566,30,-92,11,-96,7,-113,6,-134,13,-95,3
59,-527,69,-530,66,-541,55,-551,45,-433,163,-121,13,-224,15,-88,10,-538,58,-571,25,-355,24,-566,30,-92,11,-96,7,-113,6,-134,13,-95,3
60,-527,69,-530,66,-541,55,-551,45,-433,163,-121,13,-226,15,-88,10,-538,58,-571,25,-435,24,-566,30,-92,11,-96,7,-116,6,-134,13,-95,3
61,-527,69,-530,66,-541,55,-551,45,-433,163,-121,13,-307,15,-88,10,-538,58,-571,25,-435,24,-566,30,-96,11,-96,7,-116,6,-134,13,-95,3
62,-527,69,-530,66,-541,55,-551,45,-433,163,-121,13,-375,16,-88,10,-538,58,-571,25,-435,24,-566,30,-96,11,-96,7,-132,6,-134,13,-95,3
63,-527,69,-530,66,-541,55,-551,45,-433,163,-121,13,-460,16,-88,10,-538,58,-571,25,-435,24,-566,30,-96,11,-96,7,-132,6,-134,13,-95,3
64,-527,69,-530,66,-541,55,-551,45,-433,163,-121,13,-490,17,-88,10,-538,58,-571,25,-486,24,-566,30,-99,11,-96,7,-132,6,-134,13,-95,3
