,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22,n23,p23,n24,p24
42,-783,98,-267,5,-636,245,-773,108,-354,12,-310,8,-243,2,-338,6,-307,6,-300,4,-307,12,-783,32,-321,29,-279,10,-817,64,-752,129,-331,17,-379,15,-843,38,-372,10,-507,31,-425,13,-811,70,-346,25,-516,36
43,-783,98,-267,5,-636,245,-773,108,-400,14,-310,8,-243,2,-338,6,-325,6,-300,4,-307,12,-849,32,-332,29,-280,10,-817,64,-752,129,-331,17,-379,15,-843,38,-372,10,-541,31,-425,13,-811,70,-413,25,-521,36
44,-783,98,-267,5,-636,245,-773,108,-404,14,-310,8,-243,2,-338,6,-325,6,-300,4,-307,12,-849,32,-332,29,-280,10,-817,64,-752,129,-331,17,-379,15,-843,38,-372,10,-787,31,-425,13,-811,70,-413,25,-521,36
45,-783,98,-267,5,-636,245,-773,108,-405,14,-310,8,-243,2,-521,6,-325,6,-300,4,-307,12,-849,32,-332,29,-283,10,-817,64,-752,129,-331,17,-379,15,-843,38,-372,10,-849,32,-425,13,-811,70,-413,25,-521,36
46,-783,98,-267,5,-636,245,-773,108,-526,14,-321,8,-253,2,-521,6,-325,6,-309,4,-328,12,-849,32,-368,29,-314,10,-817,64,-752,129,-333,17,-379,15,-843,38,-372,10,-849,32,-425,13,-811,70,-416,25,-527,36
47,-783,98,-267,5,-636,245,-773,108,-526,14,-321,8,-264,2,-521,6,-325,6,-318,4,-381,12,-849,32,-424,31,-333,10,-817,64,-752,129,-333,17,-379,15,-843,38,-372,10,-849,32,-425,13,-811,70,-439,25,-604,36
48,-783,98,-275,5,-636,245,-773,108,-526,14,-321,8,-264,2,-521,6,-325,6,-318,4,-411,12,-849,32,-627,40,-333,10,-817,64,-752,129,-333,17,-379,15,-843,38,-372,10,-849,32,-425,13,-811,70,-439,25,-604,36
49,-783,98,-275,5,-636,245,-773,108,-526,14,-321,8,-264,2,-521,6,-325,6,-318,4,-425,12,-849,32,-836,45,-333,10,-817,64,-752,129,-333,17,-379,15,-843,38,-372,10,-849,32,-425,13,-811,70,-439,25,-626,36
50,-783,98,-275,5,-636,245,-773,108,-526,14,-321,8,-267,2,-521,6,-325,6,-338,4,-511,12,-849,32,-836,45,-333,10,-817,64,-752,129,-347,17,-382,15,-843,38,-372,10,-849,32,-439,13,-811,70,-461,25,-714,36
51,-783,98,-275,5,-636,245,-773,108,-526,14,-321,8,-273,2,-521,6,-335,6,-338,4,-599,12,-849,32,-836,45,-333,10,-817,64,-752,129,-347,17,-382,15,-843,38,-372,10,-849,32,-439,13,-811,70,-476,25,-841,40
52,-783,98,-303,5,-636,245,-773,108,-526,14,-332,8,-284,2,-521,6,-363,6,-343,4,-698,12,-849,32,-836,45,-353,10,-817,64,-752,129,-350,17,-385,15,-843,38,-387,10,-849,32,-466,13,-811,70,-476,25,-841,40
53,-783,98,-330,5,-636,245,-773,108,-526,14,-339,8,-300,2,-522,6,-363,6,-362,4,-811,12,-849,32,-836,45,-372,10,-817,64,-752,129,-360,17,-386,15,-843,38,-387,10,-849,32,-466,13,-811,70,-513,25,-841,40
54,-783,98,-330,5,-636,245,-773,108,-541,14,-339,8,-302,2,-522,6,-363,6,-422,4,-867,14,-849,32,-836,45,-400,10,-817,64,-752,129,-385,17,-403,15,-843,38,-392,10,-849,32,-503,13,-811,70,-516,25,-841,40
55,-783,98,-330,5,-636,245,-773,108,-547,14,-343,8,-303,2,-525,6,-381,6,-427,4,-867,14,-849,32,-836,45,-400,10,-817,64,-752,129,-388,17,-478,16,-843,38,-392,10,-849,32,-628,13,-811,70,-525,25,-841,40
56,-783,98,-362,5,-636,245,-773,108,-547,14,-359,8,-312,2,-525,6,-381,6,-427,4,-867,14,-849,32,-836,45,-404,10,-817,64,-752,129,-423,17,-515,16,-843,38,-392,10,-849,32,-628,13,-811,70,-642,25,-841,40
57,-783,98,-362,5,-636,245,-773,108,-547,14,-359,8,-319,2,-525,6,-384,6,-427,4,-867,14,-849,32,-836,45,-427,10,-817,64,-752,129,-426,17,-515,16,-843,38,-392,10,-849,32,-628,13,-811,70,-854,27,-841,40
58,-783,98,-362,6,-636,245,-773,108,-607,14,-377,8,-335,2,-527,6,-442,6,-435,4,-867,14,-849,32,-836,45,-472,10,-817,64,-752,129,-445,17,-526,16,-843,38,-404,10,-849,32,-628,13,-811,70,-854,27,-841,40
59,-783,98,-419,6,-636,245,-773,108,-607,14,-377,8,-354,2,-527,6,-442,6,-522,4,-867,14,-849,32,-836,45,-495,10,-817,64,-752,129,-462,17,-571,18,-843,38,-404,10,-849,32,-628,13,-811,70,-854,27,-841,40
