,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17
51,-528,68,-527,69,-540,56,-551,45,-434,162,-99,12,-130,16,-151,6,-91,3,-538,58,-131,11,-129,9,-542,17,-93,9,-73,7,-62,11,-559,37,-72,4
52,-528,68,-527,69,-540,56,-551,45,-434,162,-101,12,-133,16,-151,6,-91,3,-538,58,-158,11,-146,9,-565,31,-93,9,-73,7,-65,12,-559,37,-72,4
53,-528,68,-527,69,-540,56,-551,45,-434,162,-101,12,-138,16,-151,6,-91,3,-538,58,-158,11,-147,9,-565,31,-93,9,-91,7,-130,13,-559,37,-72,4
54,-528,68,-527,69,-540,56,-551,45,-434,162,-107,12,-144,16,-151,6,-91,3,-538,58,-160,11,-187,9,-565,31,-93,9,-91,7,-131,13,-559,37,-107,4
55,-528,68,-527,69,-540,56,-551,45,-434,162,-107,12,-234,16,-151,6,-91,3,-538,58,-160,11,-187,9,-565,31,-93,9,-91,7,-131,13,-559,37,-107,4
56,-528,68,-527,69,-540,56,-551,45,-434,162,-116,12,-236,16,-151,6,-91,3,-538,58,-226,14,-195,9,-565,31,-93,9,-91,7,-133,13,-559,37,-107,4
57,-528,68,-527,69,-540,56,-551,45,-434,162,-116,12,-321,16,-151,6,-91,3,-538,58,-231,14,-195,9,-565,31,-93,9,-91,7,-133,13,-559,37,-107,4
58,-528,68,-527,69,-540,56,-551,45,-434,162,-116,12,-322,16,-151,6,-93,3,-538,58,-307,14,-204,9,-565,31,-93,9,-91,7,-135,13,-559,37,-107,4
59,-528,68,-527,69,-540,56,-551,45,-434,162,-117,12,-322,16,-151,6,-93,3,-538,58,-385,14,-215,9,-565,31,-93,9,-91,7,-135,13,-559,37,-107,4
60,-528,68,-527,69,-540,56,-551,45,-434,162,-117,12,-322,16,-151,6,-93,3,-538,58,-466,23,-215,9,-565,31,-93,9,-91,7,-135,13,-559,37,-107,4
61,-528,68,-527,69,-540,56,-551,45,-434,162,-117,12,-322,16,-151,6,-93,3,-538,58,-533,23,-215,9,-565,31,-93,11,-112,7,-135,13,-559,37,-107,4
62,-528,68,-527,69,-540,56,-551,45,-434,162,-124,12,-332,16,-151,6,-93,3,-538,58,-571,23,-244,11,-565,31,-93,11,-112,7,-139,13,-559,37,-107,4
63,-528,68,-527,69,-540,56,-551,45,-434,162,-124,12,-368,16,-151,6,-93,3,-538,58,-572,23,-290,15,-565,31,-93,11,-112,7,-142,13,-559,37,-107,4
64,-528,68,-527,69,-540,56,-551,45,-434,162,-124,12,-448,16,-151,6,-93,3,-538,58,-572,24,-291,23,-565,31,-93,11,-112,7,-142,13,-559,37,-107,4
65,-528,68,-527,69,-540,56,-551,45,-434,162,-124,12,-451,17,-151,6,-93,3,-538,58,-572,24,-377,23,-565,31,-93,11,-112,7,-142,13,-559,37,-107,4
66,-528,68,-527,69,-540,56,-551,45,-434,162,-124,12,-484,18,-151,6,-93,3,-538,58,-572,24,-423,23,-565,31,-101,11,-112,7,-144,13,-559,37,-107,4
67,-528,68,-527,69,-540,56,-551,45,-434,162,-124,12,-495,18,-151,6,-95,3,-538,58,-572,24,-500,23,-565,31,-101,11,-112,7,-144,13,-559,37,-107,4
68,-528,68,-527,69,-540,56,-551,45,-434,162,-124,12,-495,20,-151,49,-95,3,-538,58,-572,24,-542,23,-565,31,-101,11,-112,7,-147,13,-559,37,-107,4
69,-528,68,-527,69,-540,56,-551,45,-434,162,-124,12,-495,20,-241,49,-95,3,-538,58,-572,24,-542,23,-565,31,-101,11,-112,7,-147,13,-559,37,-107,4
70,-528,68,-527,69,-540,56,-551,45,-434,162,-124,12,-495,20,-331,49,-95,3,-538,58,-572,24,-542,23,-565,31,-101,11,-112,7,-147,13,-559,37,-107,4
71,-528,68,-527,69,-540,56,-551,45,-434,162,-124,12,-495,20,-421,49,-95,3,-538,58,-572,24,-542,23,-565,31,-101,11,-112,7,-147,13,-559,37,-107,4
72,-528,68,-527,69,-540,56,-551,45,-434,162,-124,12,-495,20,-511,49,-95,3,-538,58,-572,24,-542,23,-565,31,-101,11,-112,7,-147,13,-559,37,-107,4
73,-528,68,-527,69,-540,56,-551,45,-434,162,-129,12,-517,20,-547,49,-95,3,-538,58,-572,24,-565,23,-565,31,-101,11,-112,7,-151,13,-559,37,-107,4
74,-528,68,-527,69,-540,56,-551,45,-434,162,-144,12,-565,20,-547,49,-97,3,-538,58,-572,24,-573,23,-565,31,-102,11,-112,7,-167,13,-559,37,-107,4
75,-528,68,-527,69,-540,56,-551,45,-434,162,-155,12,-575,21,-547,49,-97,3,-538,58,-572,24,-573,23,-565,31,-122,11,-112,7,-215,13,-559,37,-107,4
76,-528,68,-527,69,-540,56,-551,45,-434,162,-179,15,-575,21,-547,49,-97,3,-538,58,-572,24,-573,23,-565,31,-180,11,-112,7,-220,13,-559,37,-107,4
77,-528,68,-527,69,-540,56,-551,45,-434,162,-192,15,-575,21,-547,49,-98,3,-538,58,-572,24,-573,23,-565,31,-180,11,-113,7,-294,14,-559,37,-107,4
78,-528,68,-527,69,-540,56,-551,45,-434,162,-192,15,-575,21,-547,49,-109,3,-538,58,-572,24,-573,23,-565,31,-180,11,-113,7,-373,14,-559,37,-107,4
79,-528,68,-527,69,-540,56,-551,45,-434,162,-197,15,-575,21,-547,49,-109,3,-538,58,-572,24,-573,23,-565,31,-180,11,-116,7,-455,14,-559,37,-107,4
