,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22,n23,p23
47,-515,66,-476,72,-408,186,-552,4,-517,78,-569,10,-617,3,-594,7,-586,3,-528,16,-517,41,-558,5,-598,3,-472,100,-555,48,-444,122,-587,3,-570,3,-519,66,-598,3,-582,3,-567,6,-555,21,-565,2
48,-528,67,-484,72,-416,191,-565,5,-526,78,-582,10,-626,3,-599,7,-589,3,-535,16,-521,42,-566,5,-608,3,-480,102,-570,49,-452,123,-599,3,-587,3,-528,67,-609,3,-590,3,-581,6,-564,21,-571,2
49,-534,69,-492,73,-428,197,-575,5,-536,79,-589,10,-632,3,-608,7,-598,3,-547,17,-531,42,-583,5,-621,3,-487,105,-578,50,-463,125,-607,3,-592,3,-535,68,-621,3,-597,3,-588,7,-575,21,-580,2
50,-542,72,-499,74,-431,199,-583,5,-546,81,-598,10,-644,3,-618,7,-608,3,-561,17,-543,43,-591,5,-627,3,-502,106,-583,52,-468,126,-620,3,-602,3,-539,70,-633,3,-603,3,-598,7,-590,22,-592,2
51,-553,75,-502,77,-435,200,-601,5,-558,81,-608,10,-652,3,-623,7,-617,3,-576,17,-555,43,-600,5,-633,3,-509,106,-594,52,-479,130,-627,3,-613,3,-548,71,-643,3,-617,3,-609,7,-595,23,-601,2
52,-563,78,-509,77,-442,203,-611,5,-562,84,-613,10,-658,3,-646,7,-629,3,-587,17,-566,45,-615,5,-647,3,-520,108,-601,52,-486,131,-636,3,-620,3,-556,71,-652,3,-629,3,-615,7,-600,23,-610,3
53,-571,79,-518,77,-448,210,-620,5,-570,85,-624,10,-668,4,-656,8,-643,3,-596,17,-577,45,-623,5,-652,3,-531,110,-606,52,-494,132,-639,3,-634,3,-564,73,-664,3,-644,3,-623,7,-611,24,-619,4
54,-579,80,-524,80,-453,217,-631,5,-582,89,-630,10,-674,4,-666,8,-655,3,-604,17,-585,46,-637,5,-658,3,-545,112,-612,53,-501,134,-648,3,-646,3,-574,73,-678,3,-653,3,-631,7,-618,24,-630,4
55,-589,81,-537,80,-459,222,-639,5,-591,91,-634,10,-684,4,-674,8,-663,3,-609,17,-596,46,-648,5,-666,4,-553,112,-618,53,-512,134,-663,3,-659,3,-583,75,-687,3,-662,3,-646,7,-628,25,-642,4
56,-599,82,-550,82,-463,224,-647,5,-599,93,-645,10,-702,4,-683,8,-672,3,-624,17,-606,47,-654,5,-673,4,-561,114,-622,53,-522,135,-672,3,-670,3,-594,77,-694,3,-667,3,-656,7,-638,26,-655,4
57,-611,83,-560,82,-471,225,-650,5,-605,93,-647,10,-714,4,-692,8,-688,3,-635,17,-614,47,-667,5,-688,4,-570,117,-634,55,-536,136,-685,3,-676,3,-600,78,-704,3,-676,3,-665,7,-650,26,-661,4
58,-621,84,-567,82,-479,227,-662,5,-613,97,-656,10,-726,4,-699,8,-697,3,-645,17,-623,49,-679,5,-697,4,-576,119,-642,55,-544,138,-698,3,-684,4,-607,81,-715,3,-683,3,-673,7,-665,26,-671,4
59,-634,84,-574,83,-485,228,-675,5,-626,97,-660,10,-739,4,-706,9,-711,3,-653,18,-629,49,-689,5,-704,4,-587,119,-654,56,-553,139,-713,3,-692,4,-616,81,-720,3,-697,3,-684,7,-680,26,-675,4
60,-637,84,-582,84,-487,236,-685,6,-630,98,-671,10,-746,4,-719,9,-723,3,-664,19,-636,49,-699,5,-713,4,-596,121,-659,57,-564,140,-722,3,-703,4,-627,81,-732,3,-711,3,-693,7,-688,27,-692,4
61,-643,86,-586,86,-492,237,-694,6,-638,99,-687,10,-754,4,-722,9,-732,3,-671,19,-645,52,-705,5,-725,4,-609,122,-667,57,-574,141,-733,3,-718,4,-642,82,-739,3,-720,3,-708,7,-700,27,-703,4
62,-648,89,-593,88,-501,240,-706,6,-646,102,-696,10,-762,4,-730,9,-743,3,-675,19,-652,53,-716,5,-735,4,-624,122,-679,57,-582,143,-749,3,-727,4,-647,83,-753,3,-730,3,-716,7,-711,28,-710,4
63,-656,90,-598,89,-505,243,-720,6,-657,102,-704,10,-769,5,-736,9,-752,3,-685,20,-664,55,-725,5,-749,4,-631,123,-685,58,-588,143,-760,3,-737,4,-661,83,-767,3,-741,3,-727,7,-718,28,-725,4
64,-665,92,-610,89,-509,251,-725,6,-671,102,-712,10,-779,5,-749,9,-761,3,-695,20,-675,56,-733,5,-761,4,-637,125,-694,60,-594,147,-768,3,-747,4,-670,83,-776,3,-748,3,-735,7,-728,28,-739,4
65,-676,95,-619,92,-513,252,-736,6,-674,102,-726,10,-790,5,-762,9,-768,3,-704,20,-689,56,-744,5,-772,4,-645,127,-703,60,-602,148,-776,3,-752,4,-678,83,-783,3,-764,3,-744,7,-739,28,-752,4
66,-684,97,-623,93,-518,254,-745,6,-684,103,-738,10,-801,6,-771,9,-778,3,-714,20,-694,57,-752,5,-784,4,-657,128,-715,60,-608,152,-786,3,-763,4,-688,83,-791,3,-777,3,-756,7,-749,29,-761,4
67,-690,99,-634,93,-523,256,-758,6,-693,104,-748,10,-811,6,-783,10,-792,3,-721,20,-702,57,-763,5,-789,4,-668,129,-724,63,-615,153,-797,3,-774,4,-690,85,-803,3,-788,3,-769,7,-757,29,-772,4
68,-704,100,-641,94,-528,261,-773,6,-701,107,-755,10,-820,6,-792,10,-797,3,-732,21,-711,58,-774,5,-794,4,-677,132,-736,63,-622,154,-809,3,-782,4,-695,86,-810,3,-802,3,-777,7,-773,30,-780,5
69,-716,101,-652,95,-535,263,-778,6,-710,108,-768,10,-827,6,-804,10,-805,3,-741,21,-719,58,-785,5,-803,4,-687,134,-742,63,-631,156,-820,3,-791,4,-702,86,-819,3,-814,3,-789,7,-785,31,-792,5
70,-724,103,-658,97,-541,269,-788,6,-719,109,-775,10,-837,6,-820,10,-810,3,-750,21,-725,59,-793,5,-814,5,-691,136,-750,66,-641,158,-832,3,-804,4,-715,86,-825,3,-827,3,-795,7,-794,31,-807,5
71,-730,103,-670,98,-548,271,-798,6,-730,111,-782,10,-848,6,-827,10,-818,3,-759,21,-738,59,-805,5,-828,5,-699,136,-758,67,-650,159,-843,3,-811,4,-726,88,-831,3,-833,3,-808,7,-807,31,-819,5
72,-739,106,-680,100,-553,274,-809,6,-742,112,-794,10,-854,6,-838,11,-829,3,-769,23,-747,60,-812,5,-841,5,-703,139,-770,69,-657,160,-852,3,-824,4,-732,88,-838,3,-846,3,-814,7,-814,31,-830,5
73,-747,107,-687,103,-559,277,-818,6,-747,113,-805,10,-863,6,-849,12,-840,3,-778,23,-762,61,-825,5,-852,5,-708,139,-779,69,-666,161,-866,3,-835,4,-741,89,-844,3,-857,3,-819,7,-826,31,-842,5
74,-758,108,-701,105,-562,280,-825,6,-755,114,-813,10,-867,6,-859,12,-850,3,-785,23,-766,61,-841,6,-858,5,-718,145,-790,70,-670,163,-881,3,-848,4,-753,91,-851,3,-872,3,-828,7,-832,31,-853,5
75,-768,108,-709,107,-572,282,-834,6,-764,115,-822,10,-880,6,-867,13,-863,3,-792,23,-776,62,-851,6,-867,5,-727,149,-793,74,-680,165,-890,3,-855,4,-761,91,-857,3,-882,3,-838,7,-843,31,-868,5
76,-776,110,-715,108,-579,284,-845,6,-776,118,-838,10,-890,6,-872,13,-873,3,-800,23,-782,63,-860,6,-872,5,-737,150,-804,74,-693,168,-898,3,-864,4,-774,92,-863,3,-897,3,-849,7,-851,32,-876,5
77,-787,112,-723,108,-585,285,-853,6,-781,119,-846,10,-900,6,-885,13,-877,3,-809,23,-795,63,-869,6,-881,5,-745,151,-816,75,-706,172,-906,3,-872,4,-779,92,-874,3,-912,3,-855,7,-868,33,-889,5
78,-796,115,-726,109,-595,287,-862,6,-795,121,-857,10,-904,6,-896,13,-883,3,-817,23,-807,64,-878,6,-883,5,-753,151,-826,75,-714,173,-912,3,-886,4,-792,94,-884,3,-924,3,-866,7,-881,33,-904,5
79,-806,117,-733,109,-597,291,-871,6,-801,122,-864,10,-914,6,-911,13,-893,3,-824,24,-816,65,-890,6,-905,5,-759,151,-836,75,-723,175,-919,3,-898,4,-798,95,-892,3,-935,3,-882,7,-888,34,-913,5
80,-814,119,-742,110,-602,298,-884,6,-809,122,-879,10,-923,6,-923,13,-900,3,-840,24,-823,67,-899,6,-919,5,-763,151,-844,77,-735,177,-923,3,-903,4,-802,97,-900,3,-949,3,-891,7,-898,34,-925,5
81,-825,119,-745,112,-608,299,-897,6,-817,123,-885,11,-935,6,-934,13,-908,3,-855,24,-836,67,-907,6,-933,5,-777,152,-855,78,-744,180,-934,3,-908,4,-812,98,-908,3,-960,4,-896,7,-904,34,-935,5
82,-832,120,-754,112,-617,300,-905,6,-822,124,-896,11,-942,6,-946,13,-923,3,-866,24,-847,69,-920,6,-938,5,-786,154,-868,79,-753,184,-939,3,-917,4,-824,99,-917,3,-967,4,-905,7,-913,34,-948,5
83,-839,121,-758,113,-625,304,-913,6,-829,125,-904,11,-954,6,-958,13,-932,3,-877,25,-856,71,-925,6,-952,5,-796,156,-881,80,-764,187,-949,3,-928,4,-830,99,-926,3,-976,4,-920,7,-922,34,-955,5
84,-849,123,-765,116,-627,307,-923,6,-839,126,-920,12,-962,6,-967,13,-941,3,-889,25,-865,71,-933,6,-957,5,-803,158,-890,82,-773,187,-958,3,-939,4,-842,100,-938,3,-982,4,-936,7,-929,34,-967,5
85,-859,123,-780,118,-636,310,-932,6,-850,129,-936,12,-974,6,-983,13,-950,3,-897,26,-873,71,-940,6,-961,5,-812,162,-895,82,-778,188,-967,3,-949,4,-848,101,-945,3,-992,4,-944,7,-943,34,-975,5
86,-867,126,-785,120,-642,311,-941,6,-857,129,-943,12,-981,6,-991,14,-956,3,-905,26,-882,72,-957,6,-975,5,-825,163,-906,82,-787,188,-979,3,-956,4,-852,103,-960,3,-1003,4,-956,7,-954,34,-988,5
87,-876,127,-797,121,-646,313,-950,6,-865,129,-955,12,-990,6,-996,14,-973,4,-917,26,-894,74,-961,6,-984,5,-826,165,-913,86,-790,191,-988,3,-964,4,-861,105,-973,3,-1010,4,-978,7,-964,34,-999,5
88,-885,127,-808,123,-654,317,-960,6,-877,130,-962,12,-998,6,-1008,14,-984,4,-927,26,-904,75,-970,6,-995,5,-834,167,-922,86,-798,194,-994,3,-972,4,-871,107,-986,3,-1020,4,-984,7,-973,34,-1009,5
89,-892,128,-815,127,-658,321,-967,6,-886,130,-977,12,-1005,6,-1018,14,-994,4,-939,26,-913,76,-982,6,-1005,5,-840,167,-936,87,-807,194,-1000,3,-982,5,-882,107,-997,3,-1030,4,-998,7,-982,35,-1017,5
90,-902,129,-823,128,-667,322,-978,6,-891,133,-983,12,-1011,6,-1022,14,-1010,4,-950,26,-921,78,-997,6,-1012,5,-852,168,-941,90,-813,195,-1008,3,-995,5,-893,109,-1010,3,-1045,4,-1006,7,-987,36,-1029,5
91,-911,130,-832,130,-673,324,-986,6,-902,134,-989,12,-1020,6,-1036,14,-1021,4,-966,26,-930,78,-1008,6,-1025,5,-859,170,-951,92,-821,196,-1024,3,-1001,5,-897,111,-1018,3,-1054,4,-1016,7,-995,37,-1037,5
92,-918,131,-842,131,-679,327,-995,7,-909,134,-995,12,-1030,6,-1048,14,-1033,4,-981,27,-938,78,-1015,6,-1036,5,-868,172,-960,93,-823,197,-1034,3,-1016,6,-908,113,-1029,3,-1069,4,-1022,7,-1005,37,-1045,5
93,-931,132,-847,132,-685,330,-1003,7,-917,135,-1001,12,-1045,6,-1056,14,-1043,4,-994,27,-943,79,-1027,6,-1047,5,-874,173,-968,93,-833,200,-1046,3,-1029,6,-917,115,-1042,3,-1080,4,-1031,7,-1013,37,-1053,5
94,-938,132,-851,134,-692,332,-1014,7,-930,135,-1017,12,-1053,6,-1064,14,-1053,4,-1003,28,-954,82,-1036,6,-1053,5,-883,174,-979,93,-844,202,-1059,3,-1041,6,-929,115,-1053,3,-1087,4,-1042,7,-1019,37,-1060,5
95,-943,134,-862,135,-702,336,-1023,7,-940,138,-1026,12,-1061,6,-1077,14,-1062,4,-1014,28,-962,82,-1053,6,-1063,5,-891,176,-992,93,-853,203,-1069,3,-1048,6,-937,115,-1061,3,-1094,4,-1049,7,-1030,38,-1068,5
96,-959,135,-868,135,-709,340,-1036,7,-952,142,-1037,13,-1067,6,-1080,15,-1069,4,-1031,28,-969,82,-1069,6,-1073,5,-897,176,-997,94,-859,203,-1074,3,-1053,6,-951,115,-1071,3,-1098,4,-1066,7,-1041,38,-1082,5
97,-961,138,-878,136,-711,341,-1045,7,-961,145,-1045,13,-1074,6,-1087,15,-1079,4,-1043,28,-976,82,-1079,6,-1079,5,-907,176,-1008,95,-866,208,-1084,3,-1062,6,-967,116,-1080,3,-1112,4,-1077,7,-1055,38,-1097,5
98,-972,139,-891,138,-717,341,-1055,7,-973,145,-1054,13,-1081,6,-1097,15,-1089,4,-1054,28,-993,83,-1088,6,-1087,5,-911,177,-1016,95,-881,210,-1089,3,-1073,6,-977,119,-1085,3,-1124,4,-1088,7,-1064,38,-1104,5
99,-979,140,-905,143,-723,346,-1064,7,-984,147,-1063,13,-1086,6,-1109,15,-1091,4,-1062,28,-1001,84,-1101,6,-1097,5,-925,182,-1022,96,-893,212,-1097,3,-1083,6,-990,120,-1089,3,-1132,4,-1097,7,-1077,38,-1110,5
