,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18
67,-276,10,-226,67,-419,40,-297,3,-497,15,-311,10,-430,40,-477,32,-360,51,-442,41,-465,87,-418,23,-408,26,-405,7,-463,30,-371,9,-331,4,-376,6,-332,23
68,-281,10,-228,67,-425,40,-300,3,-499,16,-316,10,-437,40,-481,32,-365,51,-447,41,-465,87,-421,23,-415,26,-414,7,-466,30,-379,9,-341,4,-384,6,-334,23
69,-283,10,-234,67,-429,40,-303,3,-502,16,-318,10,-441,41,-481,32,-367,51,-448,41,-468,87,-427,23,-424,26,-425,7,-466,30,-387,10,-348,4,-396,6,-344,23
70,-289,10,-236,67,-432,40,-305,3,-507,16,-327,10,-447,41,-481,32,-372,52,-453,41,-473,87,-432,23,-426,26,-431,7,-467,30,-397,10,-357,4,-404,6,-349,23
71,-301,10,-238,68,-436,40,-309,3,-512,16,-332,10,-447,41,-483,32,-378,52,-454,41,-473,87,-441,23,-430,26,-441,7,-468,30,-411,10,-363,4,-411,6,-351,23
72,-310,10,-241,68,-442,40,-312,3,-512,16,-335,10,-456,41,-486,32,-383,52,-459,41,-473,87,-445,23,-434,26,-448,7,-471,30,-415,10,-371,4,-418,6,-363,23
73,-315,10,-247,68,-447,40,-314,3,-515,16,-346,10,-458,41,-487,32,-385,52,-461,41,-474,87,-451,23,-437,26,-456,7,-471,30,-426,10,-381,4,-432,6,-366,23
74,-324,11,-251,68,-450,40,-317,3,-515,16,-354,10,-459,41,-494,32,-387,52,-464,41,-474,87,-457,24,-440,26,-459,7,-477,30,-434,10,-390,4,-441,6,-375,23
75,-340,11,-258,68,-457,40,-327,3,-516,16,-365,10,-460,41,-497,32,-390,52,-465,41,-475,87,-459,24,-444,26,-464,7,-481,30,-437,10,-396,4,-446,6,-380,23
76,-346,11,-264,68,-461,40,-330,3,-521,17,-372,10,-460,41,-501,32,-396,52,-471,41,-477,87,-461,24,-445,27,-474,7,-488,30,-442,10,-400,4,-452,6,-389,23
77,-358,11,-267,68,-464,40,-331,3,-526,17,-382,10,-463,41,-505,32,-400,52,-476,41,-477,87,-464,24,-453,27,-482,7,-493,30,-444,10,-404,4,-457,6,-399,23
78,-374,11,-270,68,-465,40,-332,3,-528,17,-391,10,-465,42,-508,32,-401,52,-479,41,-478,87,-470,24,-456,27,-483,7,-498,30,-455,10,-415,4,-463,6,-408,23
79,-386,11,-276,68,-472,40,-335,3,-529,17,-398,10,-472,42,-512,32,-407,52,-479,41,-478,87,-476,24,-460,27,-493,7,-501,30,-459,10,-420,4,-470,6,-411,23
