,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13
20,-146,119,-189,79,-183,72,-209,71,-135,128,-122,127,-196,72,-170,73,-107,150,-193,74,-136,118,-190,85,-173,100,-190,75
21,-152,124,-192,82,-187,73,-218,72,-140,136,-126,133,-203,73,-180,75,-111,158,-202,78,-137,128,-195,87,-183,104,-197,76
22,-160,128,-198,86,-194,83,-226,73,-142,145,-126,142,-207,76,-186,78,-114,167,-208,81,-139,132,-203,91,-188,107,-202,80
23,-169,134,-202,86,-202,84,-234,74,-149,152,-132,149,-210,80,-193,81,-116,177,-210,83,-144,136,-208,92,-196,115,-210,84
24,-175,141,-210,87,-208,84,-239,77,-156,154,-138,156,-217,82,-197,84,-117,180,-223,87,-151,142,-216,94,-203,117,-218,89
25,-181,145,-220,90,-215,86,-247,79,-161,157,-140,159,-228,87,-204,89,-119,186,-234,90,-156,143,-223,99,-209,119,-225,91
26,-185,149,-225,94,-218,87,-259,81,-165,160,-145,169,-234,87,-207,92,-124,191,-238,93,-160,151,-235,102,-214,123,-237,97
27,-191,152,-239,94,-222,88,-263,83,-169,166,-151,176,-236,88,-211,93,-127,198,-245,98,-171,157,-243,105,-222,128,-246,100
28,-198,157,-246,97,-227,92,-274,83,-175,172,-153,178,-247,92,-218,96,-134,204,-251,101,-176,159,-250,107,-228,131,-252,104
29,-205,159,-257,98,-232,97,-278,88,-183,176,-160,185,-257,93,-220,100,-137,212,-258,101,-180,165,-255,108,-234,135,-263,106
30,-211,160,-265,101,-239,100,-285,89,-186,180,-164,190,-264,96,-228,103,-142,222,-270,104,-187,169,-261,114,-240,138,-267,107
31,-216,168,-272,103,-248,105,-293,91,-189,186,-167,195,-268,99,-238,105,-145,224,-278,109,-193,174,-266,118,-250,140,-273,109
32,-220,172,-285,105,-256,109,-300,91,-193,191,-169,203,-274,102,-245,111,-149,229,-289,110,-196,177,-273,122,-260,141,-277,113
33,-227,175,-294,107,-263,111,-309,93,-204,193,-178,211,-281,104,-249,112,-153,237,-295,114,-202,177,-275,126,-267,145,-282,118
34,-229,180,-306,109,-271,112,-319,94,-205,198,-186,216,-288,105,-263,113,-156,244,-301,115,-208,183,-282,133,-271,147,-289,119
35,-234,181,-308,112,-278,113,-330,97,-207,206,-189,220,-298,108,-270,118,-158,251,-307,119,-216,192,-293,135,-278,151,-292,121
36,-238,186,-316,114,-286,116,-338,100,-217,209,-193,228,-309,109,-275,125,-163,257,-311,120,-223,194,-298,138,-281,156,-299,123
37,-244,190,-321,116,-294,119,-346,102,-223,214,-200,231,-315,109,-285,129,-170,262,-319,125,-226,199,-303,138,-287,157,-310,128
38,-247,194,-327,119,-300,122,-354,103,-230,221,-201,235,-323,112,-294,129,-175,268,-325,128,-232,206,-312,140,-298,159,-318,130
39,-252,203,-333,122,-306,125,-360,104,-234,225,-205,244,-333,114,-301,131,-178,273,-331,130,-239,210,-317,144,-304,163,-326,135
40,-264,204,-338,127,-310,131,-365,107,-239,227,-208,246,-340,116,-315,133,-183,276,-342,133,-243,216,-324,147,-308,170,-332,138
41,-267,205,-349,131,-316,137,-371,107,-244,231,-210,251,-350,119,-323,138,-184,281,-349,135,-246,222,-330,153,-319,173,-338,143
42,-273,208,-356,137,-320,143,-379,109,-247,238,-211,254,-365,122,-328,140,-189,287,-353,139,-251,226,-337,159,-326,177,-344,144
43,-279,212,-362,139,-324,143,-391,109,-254,241,-216,261,-375,125,-339,142,-192,295,-359,141,-258,232,-338,162,-334,180,-351,148
44,-283,214,-369,142,-329,146,-403,110,-260,243,-223,266,-376,126,-349,145,-197,300,-363,145,-264,238,-347,168,-345,182,-359,150
45,-288,216,-381,145,-335,148,-413,111,-266,246,-230,271,-388,126,-359,146,-199,309,-370,150,-269,240,-353,174,-347,184,-367,151
46,-294,225,-391,147,-342,152,-423,112,-271,250,-234,277,-398,127,-368,147,-201,318,-375,151,-273,244,-357,177,-355,187,-375,151
47,-298,231,-399,150,-350,153,-433,112,-276,258,-240,281,-399,129,-373,149,-207,326,-382,156,-279,247,-363,184,-356,189,-387,155
48,-306,234,-403,154,-359,153,-441,114,-282,265,-245,290,-407,131,-377,153,-214,330,-388,161,-286,250,-367,187,-362,192,-393,158
49,-312,238,-406,156,-367,159,-449,120,-286,272,-249,298,-412,135,-383,156,-217,335,-395,168,-293,252,-374,190,-369,194,-398,159
50,-318,241,-408,160,-381,163,-450,122,-289,276,-255,305,-422,139,-390,159,-220,343,-404,168,-303,258,-378,192,-377,197,-404,160
51,-328,244,-420,162,-389,167,-454,126,-290,277,-257,312,-427,141,-398,160,-225,351,-414,170,-309,260,-385,194,-387,200,-410,165
52,-331,248,-427,163,-399,167,-466,127,-293,282,-262,316,-436,146,-406,161,-229,357,-416,172,-313,264,-391,199,-403,205,-413,170
53,-334,254,-433,165,-411,169,-475,128,-297,286,-268,319,-445,147,-411,164,-232,364,-423,175,-322,269,-399,202,-411,207,-420,172
54,-340,257,-441,170,-420,172,-483,129,-301,289,-272,326,-452,150,-421,167,-236,368,-427,179,-329,271,-404,206,-420,211,-425,176
55,-348,260,-446,172,-428,177,-492,130,-304,291,-275,328,-465,151,-430,169,-240,372,-432,180,-340,273,-412,208,-427,212,-438,182
56,-354,264,-449,173,-438,179,-497,131,-310,296,-277,337,-475,154,-444,172,-243,377,-438,182,-343,275,-421,212,-432,216,-445,188
57,-360,267,-454,176,-444,180,-500,135,-318,301,-282,345,-484,157,-450,176,-247,386,-444,187,-348,278,-426,213,-439,221,-452,192
58,-368,272,-459,183,-448,182,-507,136,-326,305,-287,351,-495,157,-458,177,-251,391,-453,187,-350,281,-433,215,-448,228,-459,195
59,-375,276,-465,185,-454,185,-510,138,-333,309,-292,356,-506,158,-467,182,-258,393,-458,195,-354,285,-441,217,-454,228,-468,200
60,-382,282,-472,187,-464,188,-520,139,-340,314,-294,359,-511,159,-474,186,-264,396,-467,197,-363,287,-449,221,-462,230,-471,204
61,-387,287,-477,189,-471,191,-525,140,-347,321,-298,365,-518,161,-479,190,-266,402,-478,200,-368,293,-461,225,-467,232,-478,206
62,-391,296,-485,190,-475,199,-531,143,-354,323,-306,370,-522,163,-493,191,-269,403,-483,204,-374,298,-466,226,-472,237,-489,209
63,-395,303,-497,191,-484,202,-539,143,-357,326,-310,379,-530,164,-504,194,-273,405,-493,206,-378,304,-473,226,-476,241,-496,213
64,-400,306,-502,194,-496,205,-551,145,-361,330,-312,385,-540,166,-507,197,-278,411,-496,209,-387,307,-479,229,-482,246,-506,215
65,-409,308,-511,199,-502,206,-562,148,-365,334,-315,394,-546,168,-512,200,-287,415,-503,212,-393,309,-486,231,-484,251,-517,215
66,-419,312,-520,201,-507,208,-570,153,-373,341,-320,398,-555,171,-519,205,-290,419,-510,216,-395,312,-490,232,-492,254,-524,216
67,-426,316,-524,203,-510,209,-581,156,-379,350,-323,404,-560,172,-527,209,-296,425,-516,225,-403,317,-495,234,-497,256,-530,219
68,-435,318,-532,205,-518,211,-591,162,-384,353,-326,410,-566,176,-533,213,-301,433,-520,229,-407,324,-502,236,-500,260,-538,219
69,-442,320,-544,206,-529,213,-600,167,-391,356,-329,418,-573,179,-540,218,-306,440,-525,231,-410,325,-507,240,-507,263,-542,221
70,-446,327,-553,210,-533,215,-608,169,-398,360,-331,423,-581,180,-543,218,-315,442,-532,232,-417,330,-515,244,-512,271,-550,227
71,-453,337,-563,215,-543,216,-616,171,-402,365,-335,427,-583,183,-553,220,-320,444,-537,240,-422,335,-524,247,-513,271,-555,232
72,-457,339,-569,218,-554,219,-623,171,-406,370,-342,429,-586,187,-567,223,-326,455,-540,242,-425,337,-533,250,-520,276,-563,235
73,-465,341,-573,221,-564,221,-630,173,-410,372,-344,438,-596,187,-575,225,-333,460,-544,247,-431,341,-538,251,-526,282,-576,238
74,-470,342,-579,222,-568,224,-646,173,-417,375,-346,443,-606,193,-587,230,-335,468,-550,251,-438,344,-545,255,-534,282,-579,240
75,-474,345,-587,224,-577,227,-660,175,-429,379,-352,450,-614,194,-592,231,-338,470,-558,256,-445,350,-547,257,-536,286,-587,242
76,-480,351,-591,230,-588,230,-668,179,-433,383,-354,454,-621,199,-604,234,-343,474,-563,258,-452,353,-553,260,-544,289,-590,244
77,-486,356,-601,234,-594,233,-676,179,-438,387,-355,458,-628,203,-608,237,-350,487,-567,261,-456,355,-557,263,-553,296,-598,246
78,-490,358,-609,236,-601,236,-682,182,-445,387,-361,463,-638,205,-615,239,-354,490,-575,268,-470,357,-563,265,-560,299,-606,248
79,-498,362,-619,237,-608,240,-687,183,-457,389,-366,468,-640,209,-618,244,-358,501,-580,271,-476,362,-569,270,-565,300,-615,250
