,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13
14,-119,87,-132,56,-148,55,-170,35,-92,92,-93,118,-160,49,-154,65,-88,118,-127,69,-116,92,-167,59,-135,74,-130,70
15,-125,90,-140,59,-157,57,-183,36,-98,99,-96,122,-165,51,-160,66,-93,122,-137,74,-126,95,-170,59,-142,76,-138,74
16,-127,94,-146,64,-167,60,-189,39,-102,102,-99,124,-177,53,-166,68,-97,128,-138,75,-132,99,-175,62,-154,83,-151,79
17,-128,103,-151,66,-179,61,-197,41,-107,108,-100,129,-186,56,-175,72,-98,134,-145,76,-133,106,-187,66,-159,87,-159,81
18,-134,105,-158,69,-186,66,-204,43,-113,114,-110,133,-191,63,-180,72,-100,143,-148,79,-142,110,-194,69,-168,90,-161,85
19,-139,108,-166,72,-192,68,-213,44,-116,118,-118,141,-197,66,-185,72,-103,147,-154,84,-146,117,-201,78,-178,95,-167,85
20,-143,111,-173,74,-199,74,-223,46,-124,121,-120,144,-202,67,-191,76,-109,156,-163,87,-151,125,-208,81,-185,99,-172,86
21,-149,114,-178,74,-208,77,-230,47,-131,135,-124,149,-209,68,-202,79,-113,162,-169,92,-156,127,-210,83,-190,103,-183,88
22,-154,120,-189,77,-217,83,-234,50,-135,142,-129,156,-216,69,-208,82,-117,170,-173,93,-161,128,-216,87,-198,107,-188,91
23,-162,126,-200,80,-225,86,-241,53,-137,146,-130,158,-221,72,-217,84,-119,176,-181,97,-167,136,-224,89,-205,112,-191,95
24,-169,129,-208,83,-241,90,-249,54,-141,149,-135,162,-228,74,-223,86,-122,180,-187,101,-171,142,-234,90,-214,115,-195,98
25,-176,133,-214,86,-246,91,-255,57,-148,153,-140,167,-237,76,-231,90,-123,184,-193,105,-174,147,-247,94,-225,118,-199,101
26,-180,137,-222,87,-252,92,-264,60,-152,158,-149,176,-241,77,-239,91,-128,191,-202,110,-180,149,-258,98,-230,119,-205,103
27,-188,142,-226,87,-255,98,-277,60,-159,164,-154,187,-249,77,-249,95,-132,199,-210,111,-183,151,-260,103,-233,126,-209,106
28,-194,146,-233,90,-260,100,-282,61,-167,177,-164,196,-254,78,-254,96,-136,201,-214,118,-189,151,-265,106,-240,131,-218,109
29,-201,149,-242,94,-266,104,-287,64,-175,179,-166,199,-262,80,-263,104,-138,207,-224,119,-195,156,-268,108,-249,132,-226,113
30,-207,154,-249,101,-276,105,-296,66,-178,185,-171,203,-265,83,-274,107,-141,212,-228,119,-198,160,-277,110,-258,135,-237,115
31,-214,158,-260,101,-285,109,-300,68,-180,188,-177,204,-272,84,-282,110,-146,218,-239,121,-207,164,-282,114,-265,138,-244,120
32,-222,163,-268,103,-290,112,-303,69,-188,194,-181,212,-283,88,-288,113,-153,222,-243,121,-209,172,-293,116,-269,143,-249,123
33,-225,165,-278,106,-295,115,-312,69,-192,199,-186,218,-287,89,-293,115,-164,227,-255,125,-212,174,-303,118,-274,149,-257,128
34,-232,172,-282,109,-301,119,-319,72,-197,204,-190,221,-297,92,-298,118,-168,236,-257,128,-217,182,-307,119,-279,154,-267,133
35,-243,177,-290,113,-306,123,-331,73,-200,207,-192,231,-306,95,-305,120,-173,241,-266,132,-222,184,-309,125,-281,158,-272,135
36,-250,181,-297,115,-313,126,-339,78,-205,212,-195,237,-314,100,-310,122,-174,246,-273,137,-225,189,-319,130,-287,161,-278,137
37,-255,186,-302,117,-322,130,-345,79,-215,217,-199,241,-323,102,-315,126,-177,252,-281,140,-229,194,-326,132,-289,167,-287,142
38,-259,192,-309,119,-330,132,-351,80,-216,223,-203,246,-334,102,-322,131,-180,259,-294,144,-232,197,-331,135,-297,173,-294,145
39,-265,194,-315,119,-335,136,-362,82,-225,227,-204,253,-346,105,-329,133,-184,269,-297,148,-234,203,-338,141,-303,176,-300,147
40,-271,200,-322,123,-342,138,-370,83,-232,232,-206,263,-351,106,-334,137,-191,276,-301,148,-238,212,-346,146,-306,178,-306,152
41,-277,204,-331,130,-351,139,-382,85,-241,238,-209,267,-357,107,-343,138,-195,278,-309,149,-246,214,-355,149,-307,184,-312,153
42,-283,206,-337,133,-358,142,-390,89,-244,241,-214,274,-365,108,-351,139,-201,290,-314,153,-250,220,-359,153,-313,189,-320,154
43,-292,209,-349,137,-362,144,-398,89,-253,247,-220,280,-373,111,-357,143,-204,295,-318,155,-255,225,-364,156,-321,193,-326,154
44,-297,214,-353,142,-365,151,-409,92,-255,256,-225,283,-381,114,-366,146,-208,299,-323,159,-257,230,-372,158,-328,196,-335,156
45,-305,217,-366,145,-371,157,-414,93,-261,258,-230,292,-391,118,-370,154,-210,309,-332,161,-261,232,-374,160,-334,197,-342,156
46,-308,221,-373,149,-381,159,-420,94,-270,262,-234,300,-398,122,-379,156,-214,319,-340,163,-266,234,-378,163,-340,200,-349,158
47,-314,224,-379,151,-388,161,-429,96,-279,264,-240,305,-408,124,-382,159,-219,325,-344,166,-273,235,-388,168,-348,204,-356,161
48,-326,226,-387,154,-397,164,-434,97,-283,265,-247,311,-418,125,-388,161,-223,328,-352,169,-278,238,-392,170,-359,211,-363,164
49,-334,229,-394,154,-407,168,-437,99,-294,267,-252,316,-429,129,-394,163,-227,330,-358,174,-286,241,-398,170,-363,214,-375,168
50,-339,233,-399,156,-412,174,-448,103,-299,269,-256,321,-434,130,-402,164,-230,337,-364,181,-294,242,-407,170,-373,220,-383,170
51,-344,239,-408,157,-424,175,-456,108,-302,272,-260,325,-444,134,-409,166,-234,341,-370,185,-303,242,-415,175,-381,223,-384,174
52,-354,244,-419,159,-431,180,-465,110,-305,275,-262,328,-447,136,-416,167,-236,345,-376,191,-313,251,-423,176,-391,225,-389,176
53,-357,249,-426,160,-440,183,-469,111,-312,276,-264,333,-452,138,-425,167,-243,352,-383,195,-321,254,-429,183,-400,226,-402,180
54,-361,254,-431,161,-444,187,-480,115,-317,283,-266,343,-460,141,-429,171,-247,358,-397,196,-327,260,-433,183,-406,229,-408,183
55,-365,258,-435,165,-457,189,-488,116,-329,289,-271,348,-465,144,-435,175,-251,363,-407,197,-332,264,-439,185,-410,234,-415,184
56,-369,265,-440,167,-464,192,-498,119,-336,293,-277,356,-473,149,-441,179,-258,367,-411,200,-337,265,-443,189,-416,237,-425,184
57,-372,269,-443,169,-471,195,-507,124,-344,299,-283,357,-476,154,-448,183,-261,374,-424,202,-344,266,-456,196,-417,238,-432,186
58,-375,273,-454,173,-476,196,-510,127,-351,301,-290,363,-481,157,-452,184,-265,380,-433,203,-350,269,-462,199,-423,247,-445,191
59,-385,275,-460,173,-479,201,-520,132,-358,306,-292,368,-490,159,-461,190,-270,387,-437,210,-353,273,-466,202,-430,250,-449,194
60,-391,278,-467,176,-492,204,-527,132,-366,311,-298,372,-498,160,-466,193,-275,389,-449,216,-359,274,-472,205,-435,257,-453,195
61,-394,284,-474,178,-501,207,-535,133,-367,315,-302,379,-508,160,-474,194,-279,397,-457,221,-363,279,-480,211,-438,261,-459,200
62,-404,289,-479,182,-508,207,-541,135,-370,324,-304,383,-513,165,-479,202,-286,404,-460,223,-372,286,-484,215,-444,264,-466,201
63,-407,292,-488,186,-516,210,-549,138,-375,327,-308,388,-518,167,-486,205,-289,409,-469,228,-379,293,-494,219,-450,265,-471,204
64,-415,296,-496,191,-526,212,-556,140,-383,331,-311,394,-525,169,-491,205,-292,417,-476,235,-385,297,-498,223,-456,267,-478,205
65,-422,301,-506,192,-530,214,-561,143,-387,334,-315,402,-533,173,-500,212,-294,423,-482,238,-392,304,-502,226,-464,269,-483,208
66,-424,303,-517,194,-535,216,-581,144,-391,339,-322,405,-541,177,-509,212,-299,429,-487,244,-397,310,-506,228,-470,271,-489,210
67,-428,307,-522,196,-541,218,-589,144,-397,342,-326,413,-553,179,-518,213,-304,433,-492,250,-404,315,-511,233,-476,277,-497,212
68,-430,309,-530,198,-549,220,-596,145,-400,351,-333,415,-559,183,-532,215,-310,438,-498,255,-408,318,-517,237,-480,281,-508,215
69,-436,314,-539,201,-553,221,-607,149,-408,355,-338,421,-567,185,-540,218,-313,449,-503,257,-412,325,-521,238,-484,284,-515,217
70,-444,321,-544,204,-558,222,-616,152,-412,361,-344,427,-572,190,-548,220,-314,454,-509,259,-419,330,-524,241,-486,288,-528,223
71,-453,325,-554,207,-564,224,-620,155,-416,367,-348,433,-578,194,-557,220,-316,458,-515,265,-427,332,-535,242,-496,290,-533,226
72,-458,329,-564,208,-571,228,-627,156,-422,369,-356,435,-585,198,-563,221,-323,463,-522,265,-432,337,-537,246,-507,295,-543,230
73,-464,332,-571,210,-574,230,-636,161,-424,371,-358,442,-596,201,-571,224,-326,471,-530,265,-440,340,-548,251,-514,297,-549,234
74,-467,337,-576,211,-580,233,-643,163,-429,373,-362,448,-605,204,-577,224,-332,478,-538,271,-449,344,-557,255,-521,301,-557,235
75,-472,339,-586,214,-587,236,-653,164,-435,378,-364,451,-615,208,-584,228,-336,481,-544,278,-459,346,-563,258,-524,306,-561,240
76,-479,346,-595,220,-590,241,-660,167,-442,382,-369,456,-619,208,-590,232,-339,486,-547,284,-467,351,-566,258,-533,311,-572,240
77,-484,349,-600,222,-600,242,-670,168,-450,390,-374,464,-627,209,-596,238,-343,491,-553,284,-471,355,-573,262,-541,316,-578,240
78,-490,352,-617,223,-607,243,-679,168,-450,394,-381,469,-634,210,-603,240,-345,495,-561,285,-479,362,-587,266,-542,319,-584,245
79,-496,359,-624,227,-610,244,-684,171,-458,398,-382,476,-644,212,-612,244,-351,504,-565,288,-482,366,-590,271,-548,322,-597,245
