,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22
65,-209,1361,-1055,472,-729,82,-682,4,-1066,55,-589,10,-324,4,-289,2,-737,42,-1063,130,-701,86,-679,15,-833,14,-507,5,-661,26,-1082,42,-500,7,-326,5,-489,8,-864,13,-299,2,-664,9,-730,8
66,-209,1368,-1061,474,-732,82,-711,4,-1068,55,-604,10,-331,4,-299,2,-740,42,-1072,131,-711,86,-688,15,-846,14,-514,5,-667,26,-1096,42,-505,7,-335,5,-504,8,-882,13,-314,2,-671,9,-738,8
67,-210,1374,-1070,474,-742,82,-719,4,-1081,55,-616,10,-341,4,-306,2,-745,42,-1083,133,-716,86,-700,15,-864,14,-521,5,-673,26,-1102,42,-513,7,-337,5,-531,8,-896,13,-325,2,-679,9,-750,8
68,-210,1378,-1077,475,-747,83,-740,4,-1084,55,-627,10,-354,4,-310,2,-756,42,-1092,133,-728,86,-706,15,-880,14,-527,5,-681,26,-1113,42,-521,7,-341,5,-548,8,-900,14,-335,2,-702,9,-764,8
69,-210,1384,-1083,475,-754,83,-749,4,-1091,55,-645,10,-357,4,-315,2,-766,42,-1097,133,-740,86,-712,15,-900,15,-535,5,-688,26,-1122,42,-527,7,-358,6,-555,8,-921,15,-345,2,-714,9,-780,8
70,-210,1398,-1086,477,-757,83,-762,4,-1097,55,-657,10,-360,4,-319,2,-779,42,-1105,134,-747,86,-722,16,-919,15,-543,5,-705,26,-1130,42,-541,8,-363,7,-564,8,-936,15,-350,2,-722,9,-800,8
71,-210,1398,-1090,480,-766,83,-774,4,-1104,55,-663,10,-363,4,-333,2,-781,42,-1112,135,-751,86,-742,16,-931,15,-547,5,-712,26,-1142,42,-556,9,-365,7,-577,8,-973,15,-358,2,-737,9,-811,9
72,-211,1403,-1090,480,-776,83,-787,4,-1110,55,-680,10,-374,4,-343,2,-784,42,-1126,136,-754,86,-749,16,-946,15,-553,5,-720,26,-1152,42,-568,9,-373,7,-596,8,-995,15,-361,2,-755,9,-819,9
73,-212,1405,-1094,480,-787,83,-800,4,-1116,55,-703,10,-384,4,-351,2,-792,43,-1135,136,-761,86,-764,16,-960,15,-557,5,-727,26,-1160,42,-572,9,-381,7,-608,8,-1013,15,-368,2,-764,9,-840,9
74,-212,1415,-1100,482,-791,83,-813,4,-1123,55,-721,10,-390,4,-358,2,-801,43,-1153,136,-768,86,-775,16,-970,15,-561,5,-734,26,-1168,42,-577,9,-393,7,-621,9,-1028,15,-373,2,-776,9,-860,9
75,-212,1417,-1103,482,-799,83,-827,4,-1137,55,-739,10,-407,4,-370,2,-810,43,-1158,138,-778,86,-785,16,-986,15,-567,5,-736,26,-1177,42,-588,10,-398,7,-632,9,-1034,15,-379,2,-794,10,-874,9
76,-212,1418,-1103,482,-803,83,-833,4,-1149,55,-753,10,-412,4,-375,2,-820,43,-1174,138,-782,86,-793,16,-1011,15,-577,5,-748,26,-1192,42,-597,10,-404,7,-644,9,-1047,15,-386,2,-800,10,-904,9
77,-212,1424,-1104,482,-805,83,-851,4,-1153,55,-763,10,-417,4,-387,2,-828,43,-1185,139,-785,86,-808,16,-1026,15,-590,5,-752,26,-1204,42,-608,10,-412,7,-656,10,-1057,15,-397,2,-813,10,-928,9
78,-212,1429,-1104,482,-811,83,-879,4,-1157,55,-775,10,-422,4,-397,2,-833,43,-1194,140,-791,86,-823,16,-1044,15,-596,5,-763,26,-1209,42,-618,10,-416,7,-674,10,-1069,15,-410,2,-824,10,-944,9
79,-213,1432,-1107,482,-818,83,-891,4,-1159,55,-792,10,-426,4,-411,2,-843,43,-1204,140,-795,86,-831,16,-1056,15,-608,5,-768,26,-1220,42,-623,10,-422,8,-693,10,-1085,15,-423,2,-840,10,-963,9
