Adaptive,CVIRS,Greedy_sample,MMC,MML,Random,Random_sample,STM_stable_validation
4.429956896551724,4.9198994252873565,4.348778735632184,4.301005747126437,4.490301724137931,4.167744252873563,4.373922413793103,4.321120689655173
4.413074712643678,4.9030172413793105,4.339080459770115,4.286997126436781,4.460847701149424,4.120689655172414,4.351652298850575,4.275862068965518
4.3886494252873565,4.95617816091954,4.369971264367816,4.269755747126437,4.474137931034482,4.094109195402298,4.373563218390805,4.235632183908047
4.369612068965517,4.94683908045977,4.318247126436781,4.238146551724137,4.43462643678161,4.1073994252873565,4.335488505747126,4.21875
4.334770114942528,4.9134339080459775,4.324712643678161,4.224137931034483,4.417744252873563,4.062859195402298,4.335847701149426,4.191091954022988
4.336925287356322,4.9030172413793105,4.31537356321839,4.199712643678161,4.414152298850575,4.062859195402298,4.3390804597701145,4.152658045977011
4.330818965517242,4.943965517241379,4.285201149425287,4.19683908045977,4.417744252873563,4.054956896551724,4.3326149425287355,4.1048850574712645
4.28735632183908,4.899425287356323,4.295258620689656,4.1986350574712645,4.403735632183908,4.056752873563219,4.2884339080459775,4.106681034482759
4.280531609195402,4.872844827586206,4.291307471264368,4.200790229885057,4.377514367816092,4.082255747126437,4.2676005747126435,4.104166666666666
4.2636494252873565,4.897629310344827,4.293103448275862,4.2076149425287355,4.386494252873564,4.075790229885057,4.285201149425287,4.0671695402298855
4.244971264367816,4.838362068965517,4.2428160919540225,4.160201149425287,4.380747126436782,4.064295977011494,4.288074712643677,4.0448994252873565
4.238505747126437,4.798491379310345,4.2428160919540225,4.155172413793103,4.390086206896552,4.043462643678161,4.253951149425287,4.010057471264368
4.220905172413793,4.8301005747126435,4.242097701149425,4.141163793103448,4.404454022988505,4.018318965517242,4.275862068965518,4.0
4.2194683908045985,4.8142959770114935,4.218031609195402,4.139008620689655,4.406609195402299,4.0359195402298855,4.256465517241379,3.973778735632184
4.19073275862069,4.804238505747126,4.216235632183908,4.106681034482759,4.398706896551724,4.035919540229885,4.245689655172413,3.972341954022988
4.176005747126437,4.755387931034482,4.189295977011495,4.085488505747127,4.400143678160919,4.035560344827586,4.227011494252873,3.922772988505747
4.172413793103448,4.786997126436781,4.201867816091954,4.071479885057472,4.375359195402298,4.023347701149426,4.2482040229885065,3.9418103448275863
4.163433908045977,4.73742816091954,4.192887931034484,4.059985632183908,4.385775862068966,4.0136494252873565,4.230962643678161,3.9141522988505746
4.140445402298851,4.756106321839081,4.164511494252874,4.016163793103448,4.367097701149426,3.984195402298851,4.187859195402298,3.9170258620689644
4.158764367816092,4.712643678160919,4.131106321839081,4.017959770114943,4.372485632183908,3.998563218390805,4.195761494252874,3.9015804597701154
4.153376436781609,4.67492816091954,4.120689655172413,3.9971264367816093,4.36242816091954,3.992456896551724,4.185344827586206,3.8692528735632186
4.132902298850575,4.666666666666667,4.104525862068965,4.006824712643679,4.352370689655173,3.989583333333333,4.150862068965518,3.8545258620689653
4.123563218390805,4.639367816091954,4.09698275862069,3.99066091954023,4.331896551724138,4.001436781609196,4.165229885057471,3.8573994252873565
4.121408045977011,4.630747126436782,4.070761494252873,3.936422413793104,4.341594827586206,3.979166666666666,4.170617816091953,3.839439655172414
4.097701149425288,4.6426005747126435,4.0657327586206895,3.9252873563218387,4.34662356321839,3.9615660919540225,4.124640804597701,3.8229166666666665
4.0801005747126435,4.616738505747126,4.055316091954024,3.9260057471264367,4.334770114942529,3.9852729885057476,4.1321839080459775,3.841235632183908
4.085847701149426,4.61566091954023,4.048491379310345,3.8994252873563218,4.31896551724138,3.962284482758621,4.113146551724138,3.82183908045977
4.065014367816092,4.564655172413793,4.045258620689656,3.890804597701149,4.314295977011494,3.9604885057471266,4.097701149425287,3.8117816091954024
4.0592672413793105,4.56537356321839,4.045617816091954,3.877514367816092,4.303879310344827,3.94683908045977,4.088362068965518,3.813936781609195
4.050646551724138,4.579022988505747,4.004310344827585,3.8548850574712645,4.295258620689655,3.9421695402298855,4.085488505747127,3.7999281609195403
4.039511494252874,4.54382183908046,4.014008620689656,3.854885057471264,4.3013649425287355,3.933548850574713,4.085847701149426,3.7841235632183903
4.041666666666666,4.550287356321839,4.000359195402299,3.8466235632183907,4.301724137931036,3.919899425287356,4.058908045977011,3.786278735632184
4.0201149425287355,4.531609195402298,3.994971264367816,3.812859195402299,4.2948994252873565,3.9145114942528743,4.061422413793103,3.7589798850574714
4.014008620689656,4.525502873563218,4.004310344827586,3.8232758620689653,4.298491379310345,3.90625,4.067887931034483,3.7557471264367814
4.015445402298851,4.521192528735632,3.9669540229885056,3.8221982758620694,4.292025862068965,3.9076867816091956,4.04382183908046,3.752873563218391
