,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18
45,-83,3,-509,72,-540,39,-87,2,-158,4,-132,10,-275,27,-434,34,-529,52,-536,45,-495,86,-110,5,-289,24,-72,2,-393,26,-117,9,-119,3,-81,5,-309,22
46,-83,3,-509,72,-540,39,-87,2,-158,4,-132,10,-275,27,-450,34,-529,52,-536,45,-495,86,-116,5,-305,24,-72,2,-396,26,-170,9,-119,3,-82,5,-309,22
47,-83,3,-509,72,-540,39,-87,2,-158,4,-132,10,-284,27,-479,34,-529,52,-536,45,-495,86,-116,5,-361,24,-72,2,-397,26,-170,9,-119,3,-82,5,-309,22
48,-83,3,-509,72,-540,39,-87,2,-158,4,-133,10,-294,28,-484,34,-529,52,-536,45,-495,86,-146,6,-361,24,-72,2,-397,26,-170,9,-119,3,-82,5,-356,22
49,-91,3,-509,72,-540,39,-87,2,-158,4,-133,10,-368,31,-484,34,-529,52,-536,45,-495,86,-146,6,-361,24,-72,2,-397,26,-170,9,-119,3,-92,5,-356,22
50,-91,3,-509,72,-540,39,-87,2,-158,4,-162,10,-418,31,-484,34,-529,52,-536,45,-495,86,-146,6,-361,24,-72,2,-403,26,-170,9,-127,3,-94,5,-356,22
51,-91,3,-509,72,-541,40,-87,2,-160,4,-162,10,-459,33,-484,34,-529,52,-536,45,-495,86,-146,7,-361,24,-90,4,-410,26,-170,9,-128,3,-95,5,-374,22
52,-91,3,-509,72,-541,40,-87,2,-160,4,-162,10,-469,33,-489,34,-529,52,-536,45,-495,86,-219,7,-361,24,-96,5,-410,26,-170,9,-128,3,-95,5,-374,22
53,-91,3,-509,72,-541,40,-87,2,-160,4,-162,10,-526,33,-489,34,-529,52,-536,45,-495,86,-245,8,-361,24,-107,5,-410,26,-170,9,-128,3,-95,5,-374,22
54,-91,3,-509,72,-541,40,-87,2,-160,4,-162,10,-539,33,-489,34,-529,52,-536,45,-495,86,-308,20,-361,24,-107,5,-414,26,-170,9,-128,3,-95,5,-377,22
55,-91,3,-509,72,-541,40,-87,2,-160,4,-162,10,-539,33,-489,34,-529,52,-536,45,-495,86,-403,20,-361,24,-107,5,-414,26,-170,9,-128,3,-95,5,-377,22
56,-91,3,-509,72,-541,40,-87,2,-160,4,-162,10,-539,33,-489,34,-529,52,-536,45,-495,86,-492,24,-363,24,-107,5,-414,26,-170,9,-128,3,-95,5,-377,22
57,-93,3,-509,72,-541,40,-87,2,-160,4,-162,10,-541,33,-489,34,-529,52,-536,45,-495,86,-530,24,-377,24,-112,5,-414,26,-170,9,-128,3,-95,5,-411,22
