,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13
64,-400,311,-525,187,-498,211,-559,143,-365,321,-308,394,-549,160,-510,211,-287,408,-489,224,-394,326,-460,242,-433,269,-474,226
65,-404,315,-533,190,-506,212,-563,147,-371,325,-314,397,-554,165,-520,214,-293,417,-493,229,-397,331,-465,243,-440,277,-482,227
66,-408,320,-541,192,-516,213,-568,149,-375,330,-319,404,-563,166,-528,216,-296,420,-500,230,-402,334,-479,247,-444,280,-493,231
67,-416,329,-551,198,-522,214,-578,150,-382,334,-324,411,-568,168,-538,219,-299,422,-505,231,-405,338,-489,251,-453,281,-495,233
68,-420,332,-554,201,-528,217,-591,152,-387,338,-329,418,-579,168,-552,221,-302,433,-507,233,-410,341,-498,254,-460,284,-501,234
69,-429,335,-560,204,-535,220,-602,154,-387,341,-335,424,-587,170,-559,225,-310,438,-512,237,-415,343,-502,255,-472,289,-508,236
70,-436,339,-565,205,-547,222,-607,155,-393,349,-340,429,-593,171,-565,228,-315,444,-525,239,-422,346,-513,256,-477,291,-515,237
71,-443,341,-573,208,-553,223,-616,155,-402,351,-347,433,-600,176,-567,230,-319,451,-538,240,-423,352,-523,258,-483,299,-521,239
72,-447,348,-582,211,-561,224,-626,158,-404,356,-352,437,-602,178,-575,232,-324,458,-541,242,-428,356,-533,260,-492,302,-533,242
73,-454,353,-596,214,-567,230,-633,161,-407,362,-356,441,-608,179,-579,233,-328,461,-547,248,-438,361,-539,262,-498,305,-539,245
74,-460,356,-606,214,-575,235,-638,163,-415,366,-360,447,-617,181,-589,235,-333,467,-555,251,-442,364,-546,268,-504,305,-544,248
75,-465,362,-615,215,-580,238,-648,163,-415,370,-367,453,-623,185,-596,238,-338,474,-563,256,-448,367,-554,272,-512,306,-550,251
76,-474,365,-623,219,-590,240,-661,165,-421,374,-371,457,-631,186,-602,239,-343,477,-574,262,-453,369,-560,272,-515,308,-559,254
77,-478,371,-629,224,-593,247,-668,169,-428,380,-377,461,-639,189,-609,240,-347,480,-582,267,-460,373,-567,274,-518,311,-566,257
78,-484,375,-635,226,-601,252,-672,171,-435,383,-378,468,-653,193,-614,242,-349,487,-591,270,-470,377,-568,278,-528,313,-571,260
79,-491,377,-640,231,-607,254,-686,173,-442,384,-386,471,-662,193,-616,245,-357,492,-602,275,-477,382,-570,279,-533,319,-579,261
